City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,arraial do cabo,-22.9661,-42.0278,24.88,81,1,10.13,BR,1715033763
83,coron,11.9986,120.2043,26.73,83,50,1.75,PH,1715033898
84,arteche,12.2645,125.4048,26.46,87,100,2.08,PH,1715033577
85,qaqortoq,60.7167,-46.0333,-0.59,68,1,2.01,GL,1715033557
86,kingston,17.997,-76.7936,30.65,71,15,1.6,JM,1715033557
87,chonchi,-42.6128,-73.8092,5.07,98,100,1.55,CL,1715033561
88,avarua,-21.2078,-159.775,28.03,89,75,5.66,CK,1715033584
89,tarui,35.3667,136.5333,19.65,100,100,3.9,JP,1715033951
90,edinburgh of the seven seas,-37.0676,-12.3116,13.88,68,65,8.38,SH,1715033556
91,antalaha,-14.9003,50.2788,22.25,90,78,3.37,MG,1715033837
92,port mathurin,-19.6833,63.4167,25.83,72,70,10.81,MU,1715033566
93,coquimbo,-29.9533,-71.3436,14.4,73,0,2.38,CL,1715033262
94,taybad,34.74,60.7756,24.37,28,81,1.78,IR,1715033961
95,saint-philippe,-21.3585,55.7679,21.77,83,46,6.11,RE,1715033783
96,san pedro de ycuamandiyu,-24.0917,-57.0764,32.05,32,11,2.7,PY,1715033966
97,ta`u,-14.2336,-169.5144,28.58,83,100,4.82,AS,1715033602
98,mili,6.0815,171.735,28.25,82,92,8.74,MH,1715033970
99,kaa-khem,51.6833,94.7333,14.67,71,100,2.68,RU,1715033857
100,vadso,70.0744,29.7487,-2.51,86,75,5.14,NO,1715033589
101,puerto baquerizo moreno,-0.9,-89.6,28.55,65,20,4.12,EC,1715033564
102,nogliki,51.8333,143.1667,-2.03,94,100,2.68,RU,1715033978
103,lihue,21.9789,-159.3672,27.58,68,20,7.72,US,1715033406
104,usogorsk,63.4106,48.6872,-1.3,58,96,1.22,RU,1715033600
105,kerikeri,-35.2268,173.9474,16.62,93,13,2.68,NZ,1715033567
106,pickering,43.9001,-79.1329,18.62,51,100,3.04,CA,1715033909
107,college,64.8569,-147.8028,1.36,89,100,3.6,US,1715033563
108,lebu,-37.6167,-73.65,11.43,91,100,10.73,CL,1715033575
109,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,78,100,4.0,RU,1715033563
110,deniliquin,-35.5333,144.9667,10.74,74,0,2.07,AU,1715033995
111,mayo-belwa,9.05,12.05,28.39,54,92,0.61,NG,1715033997
112,zeya,53.75,127.2667,8.05,51,9,1.22,RU,1715033881
